step,loss_total,loss_pde,loss_bc,loss_ic,rel_l2
0,2.111248e+01,1.139448e-02,3.653666e-03,2.073572e-01,7.943664e-01
200,5.233159e+00,6.810244e-01,1.602471e-02,2.949664e-02,3.649742e-01
400,3.992439e+00,5.122700e-01,1.274411e-02,2.205758e-02,3.394279e-01
600,2.371846e+00,2.510170e-01,7.808608e-03,1.339969e-02,3.109969e-01
800,1.084966e+00,2.388488e-01,3.756870e-03,4.704301e-03,1.597396e-01
1000,5.117686e-01,1.561528e-01,1.887462e-03,1.668696e-03,1.065533e-01
1200,2.867971e-01,1.049132e-01,1.096389e-03,7.224501e-04,8.062605e-02
1400,1.909423e-01,7.749968e-02,7.177500e-04,4.166760e-04,6.335354e-02
1600,1.314998e-01,6.021403e-02,4.678379e-04,2.450201e-04,5.079521e-02
1800,1.024441e-01,4.974018e-02,3.135738e-04,2.134649e-04,7.565763e-02
2000,6.880982e-02,3.963725e-02,1.938086e-04,9.791716e-05,3.315086e-02
2200,5.606736e-02,3.301064e-02,1.534736e-04,7.709354e-05,3.258525e-02
2400,4.334849e-02,2.783531e-02,1.002833e-04,5.484841e-05,2.440942e-02
