step,loss_total,loss_pde,loss_bc,loss_ic,rel_l2
0,1.012885e+02,1.012885e+02,0.000000e+00,0.000000e+00,1.167913e+00
300,7.064075e+01,7.064075e+01,0.000000e+00,0.000000e+00,9.804102e-01
600,5.627211e+01,5.627211e+01,0.000000e+00,0.000000e+00,8.751404e-01
900,4.487383e+01,4.487383e+01,0.000000e+00,0.000000e+00,7.789246e-01
1200,3.589480e+01,3.589480e+01,0.000000e+00,0.000000e+00,6.908099e-01
1500,2.895025e+01,2.895025e+01,0.000000e+00,0.000000e+00,6.106903e-01
1800,2.371452e+01,2.371452e+01,0.000000e+00,0.000000e+00,5.387339e-01
2100,1.989511e+01,1.989511e+01,0.000000e+00,0.000000e+00,4.752369e-01
2400,1.722285e+01,1.722285e+01,0.000000e+00,0.000000e+00,4.205200e-01
2700,1.544886e+01,1.544886e+01,0.000000e+00,0.000000e+00,3.748029e-01
3000,1.434604e+01,1.434604e+01,0.000000e+00,0.000000e+00,3.380519e-01
3300,1.371417e+01,1.371417e+01,0.000000e+00,0.000000e+00,3.098415e-01
3600,1.338671e+01,1.338671e+01,0.000000e+00,0.000000e+00,2.893004e-01
3900,1.323652e+01,1.323652e+01,0.000000e+00,0.000000e+00,2.751955e-01
4200,1.317702e+01,1.317702e+01,0.000000e+00,0.000000e+00,2.661230e-01
4500,1.315688e+01,1.315688e+01,0.000000e+00,0.000000e+00,2.607140e-01
