step,loss_total,loss_pde,loss_bc,loss_ic,rel_l2
0,9.926951e+01,9.926951e+01,0.000000e+00,0.000000e+00,9.850109e-01
200,6.196780e+00,6.196780e+00,0.000000e+00,0.000000e+00,1.221981e-01
400,3.709336e+00,3.709336e+00,0.000000e+00,0.000000e+00,5.899243e-02
600,5.401615e-02,5.401615e-02,0.000000e+00,0.000000e+00,5.483703e-03
800,9.863708e-03,9.863708e-03,0.000000e+00,0.000000e+00,7.411523e-04
1000,4.898705e-03,4.898705e-03,0.000000e+00,0.000000e+00,4.855363e-04
1200,2.842995e-03,2.842995e-03,0.000000e+00,0.000000e+00,3.654564e-04
1400,1.775691e-03,1.775691e-03,0.000000e+00,0.000000e+00,2.657545e-04
1600,1.264026e-03,1.264026e-03,0.000000e+00,0.000000e+00,2.151335e-04
1800,9.799741e-04,9.799741e-04,0.000000e+00,0.000000e+00,1.832112e-04
2000,7.776994e-04,7.776994e-04,0.000000e+00,0.000000e+00,1.549853e-04
2200,6.183251e-04,6.183251e-04,0.000000e+00,0.000000e+00,1.304068e-04
2400,4.907427e-04,4.907427e-04,0.000000e+00,0.000000e+00,1.102403e-04
2600,3.896731e-04,3.896731e-04,0.000000e+00,0.000000e+00,9.489611e-05
2800,3.186939e-04,3.186939e-04,0.000000e+00,0.000000e+00,5.694083e-04
3000,2.507340e-04,2.507340e-04,0.000000e+00,0.000000e+00,7.853990e-05
