step,loss_total,loss_pde,loss_bc,loss_ic,rel_l2
0,9.970592e+01,9.969844e+01,7.479191e-03,0.000000e+00,7.181536e-01
200,9.417559e-01,6.891418e-01,2.526141e-01,0.000000e+00,9.126422e-01
400,1.000684e-01,7.127507e-02,2.879338e-02,0.000000e+00,2.004549e-01
600,4.211273e-02,2.609096e-02,1.602177e-02,0.000000e+00,1.402343e-01
800,3.173341e-02,1.729652e-02,1.443689e-02,0.000000e+00,1.329973e-01
1000,2.353605e-02,1.048725e-02,1.304880e-02,0.000000e+00,1.259146e-01
1200,1.779434e-02,6.297295e-03,1.149705e-02,0.000000e+00,1.177426e-01
1400,1.777232e-02,7.482601e-03,1.028971e-02,0.000000e+00,1.063568e-01
1600,1.262475e-02,3.292756e-03,9.331992e-03,0.000000e+00,1.057336e-01
1800,1.147065e-02,2.751755e-03,8.718891e-03,0.000000e+00,1.023587e-01
2000,1.054107e-02,2.320480e-03,8.220585e-03,0.000000e+00,9.949270e-02
2200,9.774408e-03,2.003529e-03,7.770879e-03,0.000000e+00,9.701445e-02
2400,9.611172e-03,2.220575e-03,7.390596e-03,0.000000e+00,9.461308e-02
2600,8.433590e-03,1.489802e-03,6.943787e-03,0.000000e+00,9.175576e-02
2800,7.886463e-03,1.314484e-03,6.571979e-03,0.000000e+00,8.939516e-02
3000,7.387820e-03,1.163399e-03,6.224421e-03,0.000000e+00,8.683536e-02
